   CMIP5ModelName    RCP2.6   4.5    6.0    8.5
           CCSM4     0.30   0.25   0.61   0.80
        CNRM-CM5     0.12   0.38    NaN   0.67
   CSIRO-Mk3-6-0    -1.03  -1.53  -1.23  -2.10
        EC-EARTH      NaN    NaN    NaN   0.50
       FGOALS-g2    -0.02   0.23    NaN   1.01
         FIO-ESM     0.46   0.29   0.26   0.55
        GFDL-CM3    -0.28  -0.24  -0.11  -0.05
      GFDL-ESM2G    -0.05   0.11   0.27   0.63
      GFDL-ESM2M    -0.34   0.10  -0.16  -0.00
       GISS-E2-R     0.22   0.07   0.04   0.12
       GISS-E2-H    -0.18  -0.24  -0.29  -0.47
    GISS-E2-R-CC      NaN  -0.02    NaN    NaN
    GISS-E2-H-CC      NaN  -0.51    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.17    NaN   0.49
      HadGEM2-AO    -0.37  -0.31  -0.23  -0.42
          inmcm4      NaN  -0.28    NaN  -0.34
    IPSL-CM5A-LR    -0.04   0.18   0.19   0.24
    IPSL-CM5A-MR     0.07   0.09   0.23  -0.19
    IPSL-CM5B-LR      NaN   0.05    NaN   0.19
          MIROC5    -0.41   0.06   0.47   0.29
       MIROC-ESM    -0.35  -0.62  -0.19  -0.62
  MIROC-ESM-CHEM    -0.07  -0.40  -0.11  -0.72
      MPI-ESM-LR    -0.11   0.03    NaN   0.09
      MPI-ESM-MR    -0.46   0.14    NaN  -0.04
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.10  -0.23   0.26   0.21
       NorESM1-M     0.16   0.61   0.60   1.25
      NorESM1-ME     0.64   0.84   1.04   1.23
NAU MAM
      HadGEM2-ES    -0.68  -0.62  -0.69  -1.13
       ACCESS1-0      NaN  -0.40    NaN  -0.71
       ACCESS1-3      NaN  -0.73    NaN  -1.25
      bcc-csm1-1     0.11   0.03   0.23   0.28
    bcc-csm1-1-m    -0.20  -0.18  -0.20  -0.08
         BNU-ESM     0.19   0.29    NaN   0.35
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.10  -0.18    NaN  -0.01
      CESM1-CAM5    -0.04  -0.10   0.03   0.04
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN  -0.25
         CMCC-CM      NaN   0.06    NaN   0.08
        CMCC-CMS      NaN   0.08    NaN   0.04
           CCSM4     0.23  -0.04   0.11   0.54
        CNRM-CM5    -0.09   0.05    NaN   0.06
   CSIRO-Mk3-6-0    -0.63  -0.90  -0.75  -1.50
        EC-EARTH      NaN    NaN    NaN  -0.27
       FGOALS-g2     0.10   0.32    NaN   0.65
         FIO-ESM     0.23   0.43   0.21   0.33
        GFDL-CM3    -0.05  -0.11   0.32  -0.02
      GFDL-ESM2G    -0.20  -0.25  -0.17  -0.19
      GFDL-ESM2M    -0.48  -0.31  -0.68  -0.39
       GISS-E2-R     0.01  -0.13   0.04   0.14
       GISS-E2-H    -0.15  -0.09  -0.37  -0.36
    GISS-E2-R-CC      NaN   0.16    NaN    NaN
    GISS-E2-H-CC      NaN  -0.24    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN  -0.39    NaN  -0.67
      HadGEM2-AO    -0.77  -0.73  -0.74  -1.26
          inmcm4      NaN  -0.14    NaN  -0.20
    IPSL-CM5A-LR    -0.03   0.01   0.09   0.20
    IPSL-CM5A-MR    -0.06   0.20   0.31   0.23
    IPSL-CM5B-LR      NaN   0.05    NaN  -0.09
          MIROC5    -0.33  -0.19   0.05  -0.05
       MIROC-ESM    -0.17   0.10   0.00  -0.15
  MIROC-ESM-CHEM     0.39   0.06   0.16   0.07
      MPI-ESM-LR     0.02   0.33    NaN  -0.02
      MPI-ESM-MR    -0.44  -0.50    NaN  -0.33
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3    -0.39  -0.12  -0.23  -0.26
       NorESM1-M    -0.11   0.08   0.59   0.80
      NorESM1-ME     0.40   0.48   0.80   0.90
NAU JJA
      HadGEM2-ES    -0.10  -0.11  -0.19  -0.22
       ACCESS1-0      NaN  -0.15    NaN  -0.22
       ACCESS1-3      NaN  -0.42    NaN  -0.57
      bcc-csm1-1    -0.07  -0.12  -0.07  -0.14
    bcc-csm1-1-m    -0.14  -0.23  -0.30  -0.25
         BNU-ESM    -0.15  -0.18    NaN  -0.30
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.03  -0.05    NaN  -0.06
      CESM1-CAM5     0.04   0.05   0.02  -0.07
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN  -0.08
         CMCC-CM      NaN  -0.07    NaN  -0.05
        CMCC-CMS      NaN   0.03    NaN  -0.12
           CCSM4    -0.00  -0.11  -0.03   0.02
        CNRM-CM5    -0.07   0.02    NaN  -0.20
   CSIRO-Mk3-6-0    -0.15  -0.32  -0.23  -0.37
        EC-EARTH      NaN    NaN    NaN  -0.14
       FGOALS-g2     0.06   0.24    NaN   0.83
         FIO-ESM     0.00   0.07  -0.08  -0.19
        GFDL-CM3    -0.06  -0.16  -0.21  -0.14
      GFDL-ESM2G    -0.14  -0.10  -0.09   0.02
      GFDL-ESM2M    -0.09  -0.21  -0.20  -0.26
       GISS-E2-R    -0.05  -0.08  -0.08  -0.05
       GISS-E2-H    -0.18  -0.17  -0.27  -0.33
    GISS-E2-R-CC      NaN  -0.02    NaN    NaN
    GISS-E2-H-CC      NaN  -0.21    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN  -0.05    NaN  -0.09
      HadGEM2-AO    -0.16  -0.19  -0.16  -0.29
          inmcm4      NaN  -0.09    NaN  -0.12
    IPSL-CM5A-LR    -0.03   0.03  -0.01   0.11
    IPSL-CM5A-MR    -0.03  -0.04   0.00   0.11
    IPSL-CM5B-LR      NaN  -0.10    NaN  -0.05
          MIROC5    -0.16  -0.05   0.23   0.17
       MIROC-ESM    -0.34  -0.44  -0.31  -0.48
  MIROC-ESM-CHEM    -0.03  -0.20  -0.12  -0.28
      MPI-ESM-LR    -0.10  -0.01    NaN  -0.18
      MPI-ESM-MR    -0.25  -0.19    NaN  -0.32
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.01  -0.09  -0.04  -0.05
       NorESM1-M    -0.12  -0.11  -0.06   0.22
      NorESM1-ME     0.01   0.06   0.05   0.15
NAU SON
      HadGEM2-ES    -0.13  -0.15  -0.07  -0.16
       ACCESS1-0      NaN  -0.03    NaN  -0.10
       ACCESS1-3      NaN  -0.20    NaN  -0.34
      bcc-csm1-1    -0.02  -0.12   0.03  -0.10
    bcc-csm1-1-m    -0.13  -0.07  -0.14  -0.07
         BNU-ESM     0.05   0.04    NaN   0.01
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2    -0.10  -0.05    NaN  -0.18
      CESM1-CAM5     0.10   0.25   0.14   0.09
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN  -0.29
         CMCC-CM      NaN  -0.05    NaN  -0.05
        CMCC-CMS      NaN  -0.01    NaN  -0.08
           CCSM4     0.15   0.09   0.09   0.36
        CNRM-CM5     0.08   0.18    NaN   0.05
   CSIRO-Mk3-6-0    -0.18  -0.24  -0.24  -0.29
        EC-EARTH      NaN    NaN    NaN  -0.02
       FGOALS-g2     0.14   0.19    NaN   0.58
         FIO-ESM    -0.05   0.04   0.03  -0.07
        GFDL-CM3    -0.06   0.01   0.08   0.14
      GFDL-ESM2G     0.04   0.10   0.23   0.43
      GFDL-ESM2M    -0.00   0.04  -0.10   0.01
       GISS-E2-R     0.05  -0.03  -0.04  -0.06
       GISS-E2-H    -0.08  -0.05  -0.05  -0.11
    GISS-E2-R-CC      NaN  -0.10    NaN    NaN
    GISS-E2-H-CC      NaN  -0.11    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN  -0.01    NaN  -0.03
      HadGEM2-AO    -0.03  -0.14  -0.03  -0.22
          inmcm4      NaN  -0.08    NaN  -0.10
    IPSL-CM5A-LR     0.05   0.07   0.09   0.15
    IPSL-CM5A-MR     0.07   0.09   0.15   0.26
    IPSL-CM5B-LR      NaN  -0.04    NaN  -0.06
          MIROC5    -0.48   0.11   0.21   0.29
       MIROC-ESM    -0.22  -0.50  -0.41  -0.85
  MIROC-ESM-CHEM    -0.09  -0.25  -0.21  -0.64
      MPI-ESM-LR    -0.28  -0.07    NaN  -0.44
      MPI-ESM-MR    -0.21  -0.11    NaN  -0.44
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.01  -0.02  -0.02  -0.04
       NorESM1-M    -0.00   0.16   0.19   0.74
      NorESM1-ME     0.11   0.40   0.51   0.78
NAU ANN
      HadGEM2-ES    -0.36  -0.26  -0.29  -0.47
       ACCESS1-0      NaN  -0.13    NaN  -0.25
       ACCESS1-3      NaN  -0.46    NaN  -0.68
      bcc-csm1-1    -0.03  -0.07   0.02  -0.03
    bcc-csm1-1-m    -0.10  -0.08  -0.12  -0.02
         BNU-ESM     0.11   0.09    NaN   0.27
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2    -0.03  -0.00    NaN  -0.03
      CESM1-CAM5     0.05   0.11   0.07   0.07
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN  -0.25
         CMCC-CM      NaN  -0.07    NaN   0.03
        CMCC-CMS      NaN   0.02    NaN  -0.07
           CCSM4     0.17   0.05   0.19   0.43
        CNRM-CM5     0.01   0.16    NaN   0.15
   CSIRO-Mk3-6-0    -0.50  -0.75  -0.61  -1.07
        EC-EARTH      NaN    NaN    NaN   0.02
       FGOALS-g2     0.07   0.25    NaN   0.77
         FIO-ESM     0.16   0.21   0.10   0.15
        GFDL-CM3    -0.12  -0.12   0.02  -0.02
      GFDL-ESM2G    -0.08  -0.03   0.06   0.22
      GFDL-ESM2M    -0.22  -0.09  -0.29  -0.16
       GISS-E2-R     0.04  -0.04  -0.01   0.04
       GISS-E2-H    -0.20  -0.14  -0.24  -0.31
    GISS-E2-R-CC      NaN   0.01    NaN    NaN
    GISS-E2-H-CC      NaN  -0.27    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN  -0.07    NaN  -0.08
      HadGEM2-AO    -0.34  -0.33  -0.28  -0.54
          inmcm4      NaN  -0.15    NaN  -0.19
    IPSL-CM5A-LR    -0.02   0.07   0.09   0.18
    IPSL-CM5A-MR     0.02   0.09   0.17   0.10
    IPSL-CM5B-LR      NaN  -0.01    NaN  -0.00
          MIROC5    -0.36  -0.02   0.24   0.18
       MIROC-ESM    -0.26  -0.37  -0.23  -0.52
  MIROC-ESM-CHEM     0.05  -0.20  -0.07  -0.39
      MPI-ESM-LR    -0.13   0.07    NaN  -0.14
      MPI-ESM-MR    -0.36  -0.17    NaN  -0.28
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3    -0.08  -0.11  -0.01  -0.03
       NorESM1-M    -0.04   0.18   0.33   0.75
      NorESM1-ME     0.27   0.44   0.60   0.77
SAU DJF
      HadGEM2-ES    -0.09  -0.03   0.01  -0.01
       ACCESS1-0      NaN  -0.05    NaN  -0.00
       ACCESS1-3      NaN   0.04    NaN   0.01
      bcc-csm1-1    -0.06  -0.02  -0.02  -0.09
    bcc-csm1-1-m    -0.03  -0.00  -0.11   0.02
         BNU-ESM     0.00   0.01    NaN   0.02
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.07   0.10    NaN   0.10
      CESM1-CAM5     0.11   0.08   0.08   0.09
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN  -0.00
         CMCC-CM      NaN  -0.06    NaN  -0.08
        CMCC-CMS      NaN  -0.01    NaN  -0.13
           CCSM4     0.16   0.14   0.20   0.25
        CNRM-CM5     0.08   0.08    NaN   0.05
   CSIRO-Mk3-6-0    -0.06  -0.10  -0.11  -0.20
        EC-EARTH      NaN    NaN    NaN   0.03
       FGOALS-g2     0.07   0.18    NaN   0.29
         FIO-ESM     0.12   0.15   0.09   0.11
        GFDL-CM3     0.07   0.06   0.05  -0.00
      GFDL-ESM2G    -0.01   0.02   0.02   0.02
      GFDL-ESM2M    -0.07  -0.02  -0.14  -0.11
       GISS-E2-R    -0.04   0.01  -0.00  -0.01
       GISS-E2-H    -0.04  -0.03  -0.03  -0.01
    GISS-E2-R-CC      NaN  -0.02    NaN    NaN
    GISS-E2-H-CC      NaN   0.07    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN  -0.05    NaN  -0.04
      HadGEM2-AO    -0.05  -0.05   0.05  -0.12
          inmcm4      NaN  -0.04    NaN  -0.03
    IPSL-CM5A-LR    -0.12  -0.16  -0.24  -0.28
    IPSL-CM5A-MR    -0.08  -0.22  -0.20  -0.21
    IPSL-CM5B-LR      NaN  -0.04    NaN  -0.02
          MIROC5     0.03   0.01   0.08   0.16
       MIROC-ESM     0.10   0.12   0.15   0.19
  MIROC-ESM-CHEM     0.15   0.11   0.17   0.20
      MPI-ESM-LR     0.01  -0.02    NaN   0.02
      MPI-ESM-MR    -0.00   0.01    NaN   0.01
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.00  -0.01   0.05   0.00
       NorESM1-M     0.00   0.04   0.17   0.24
      NorESM1-ME     0.11   0.18   0.17   0.25
SAU MAM
      HadGEM2-ES    -0.17  -0.14  -0.15  -0.32
       ACCESS1-0      NaN  -0.00    NaN  -0.15
       ACCESS1-3      NaN  -0.12    NaN  -0.22
      bcc-csm1-1    -0.01  -0.03  -0.04   0.07
    bcc-csm1-1-m     0.01   0.05  -0.00   0.01
         BNU-ESM    -0.00   0.01    NaN  -0.07
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.07   0.02    NaN   0.04
      CESM1-CAM5     0.12   0.08   0.08   0.08
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN  -0.04
         CMCC-CM      NaN   0.09    NaN   0.07
        CMCC-CMS      NaN  -0.01    NaN  -0.03
           CCSM4     0.06  -0.07  -0.01   0.11
        CNRM-CM5     0.02   0.02    NaN  -0.03
   CSIRO-Mk3-6-0    -0.05  -0.07  -0.08  -0.23
        EC-EARTH      NaN    NaN    NaN  -0.13
       FGOALS-g2     0.03   0.04    NaN   0.14
         FIO-ESM     0.08   0.07   0.05   0.11
        GFDL-CM3    -0.09  -0.10  -0.11  -0.14
      GFDL-ESM2G    -0.08  -0.05  -0.09  -0.12
      GFDL-ESM2M    -0.11  -0.12  -0.21  -0.28
       GISS-E2-R     0.07   0.05   0.02   0.05
       GISS-E2-H     0.00   0.04   0.04   0.03
    GISS-E2-R-CC      NaN   0.06    NaN    NaN
    GISS-E2-H-CC      NaN   0.12    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN  -0.06    NaN  -0.16
      HadGEM2-AO    -0.08  -0.09  -0.11  -0.21
          inmcm4      NaN   0.04    NaN  -0.01
    IPSL-CM5A-LR    -0.10  -0.09  -0.20  -0.26
    IPSL-CM5A-MR    -0.12  -0.09  -0.03  -0.24
    IPSL-CM5B-LR      NaN  -0.06    NaN  -0.14
          MIROC5    -0.09   0.03   0.00  -0.01
       MIROC-ESM     0.20   0.16   0.22   0.17
  MIROC-ESM-CHEM     0.32   0.14   0.22   0.22
      MPI-ESM-LR     0.03   0.08    NaN   0.05
      MPI-ESM-MR    -0.02  -0.04    NaN  -0.13
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3    -0.05  -0.06   0.03  -0.05
       NorESM1-M    -0.11  -0.03  -0.00   0.05
      NorESM1-ME     0.00  -0.02  -0.02   0.06
SAU JJA
      HadGEM2-ES    -0.04  -0.07  -0.09  -0.16
       ACCESS1-0      NaN   0.06    NaN  -0.07
       ACCESS1-3      NaN  -0.11    NaN  -0.21
      bcc-csm1-1    -0.07  -0.09  -0.14  -0.12
    bcc-csm1-1-m    -0.01  -0.04  -0.12  -0.11
         BNU-ESM    -0.12  -0.09    NaN  -0.19
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.06   0.07    NaN   0.03
      CESM1-CAM5     0.05   0.09   0.01  -0.02
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.03
         CMCC-CM      NaN  -0.03    NaN   0.04
        CMCC-CMS      NaN  -0.06    NaN   0.02
           CCSM4     0.03  -0.04  -0.02  -0.04
        CNRM-CM5     0.07   0.15    NaN  -0.02
   CSIRO-Mk3-6-0    -0.03  -0.02   0.04   0.00
        EC-EARTH      NaN    NaN    NaN  -0.02
       FGOALS-g2     0.02   0.03    NaN   0.10
         FIO-ESM     0.10   0.07   0.13   0.15
        GFDL-CM3    -0.01  -0.13  -0.05  -0.13
      GFDL-ESM2G    -0.08  -0.03  -0.09  -0.10
      GFDL-ESM2M     0.06   0.00  -0.02  -0.13
       GISS-E2-R     0.05   0.07   0.10   0.15
       GISS-E2-H     0.02   0.06   0.05   0.09
    GISS-E2-R-CC      NaN   0.19    NaN    NaN
    GISS-E2-H-CC      NaN  -0.01    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN  -0.00    NaN  -0.01
      HadGEM2-AO    -0.03  -0.10  -0.13  -0.18
          inmcm4      NaN  -0.03    NaN  -0.02
    IPSL-CM5A-LR     0.11   0.11  -0.00  -0.00
    IPSL-CM5A-MR    -0.00  -0.01  -0.04  -0.21
    IPSL-CM5B-LR      NaN  -0.04    NaN   0.09
          MIROC5    -0.10   0.04   0.08   0.08
       MIROC-ESM     0.17   0.18   0.25   0.16
  MIROC-ESM-CHEM     0.17   0.19   0.24   0.05
      MPI-ESM-LR     0.02   0.03    NaN  -0.06
      MPI-ESM-MR    -0.06   0.00    NaN  -0.03
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.01   0.06  -0.01   0.06
       NorESM1-M    -0.05  -0.03  -0.05  -0.00
      NorESM1-ME     0.05   0.01   0.05   0.10
SAU SON
      HadGEM2-ES    -0.03  -0.04   0.00  -0.14
       ACCESS1-0      NaN  -0.06    NaN  -0.17
       ACCESS1-3      NaN  -0.07    NaN  -0.16
      bcc-csm1-1    -0.06  -0.10  -0.09  -0.14
    bcc-csm1-1-m     0.01  -0.09  -0.14  -0.11
         BNU-ESM    -0.14  -0.11    NaN  -0.25
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2    -0.03  -0.02    NaN  -0.06
      CESM1-CAM5    -0.05  -0.06  -0.12  -0.16
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN  -0.24
         CMCC-CM      NaN  -0.18    NaN  -0.23
        CMCC-CMS      NaN  -0.10    NaN  -0.30
           CCSM4     0.06   0.01  -0.03   0.01
        CNRM-CM5    -0.04  -0.06    NaN  -0.09
   CSIRO-Mk3-6-0    -0.05  -0.07  -0.06  -0.14
        EC-EARTH      NaN    NaN    NaN  -0.12
       FGOALS-g2    -0.01   0.06    NaN   0.16
         FIO-ESM     0.01  -0.01  -0.00  -0.09
        GFDL-CM3    -0.00  -0.05  -0.09  -0.21
      GFDL-ESM2G    -0.05  -0.07  -0.07  -0.15
      GFDL-ESM2M    -0.11  -0.11  -0.18  -0.28
       GISS-E2-R    -0.04   0.02  -0.00   0.04
       GISS-E2-H     0.03   0.02   0.07   0.10
    GISS-E2-R-CC      NaN   0.04    NaN    NaN
    GISS-E2-H-CC      NaN  -0.08    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN  -0.03    NaN  -0.01
      HadGEM2-AO     0.02  -0.05  -0.09  -0.07
          inmcm4      NaN  -0.01    NaN  -0.00
    IPSL-CM5A-LR    -0.01   0.00  -0.02  -0.04
    IPSL-CM5A-MR    -0.05  -0.11  -0.13  -0.30
    IPSL-CM5B-LR      NaN  -0.01    NaN   0.04
          MIROC5    -0.07  -0.02  -0.08  -0.08
       MIROC-ESM    -0.01  -0.10  -0.03  -0.07
  MIROC-ESM-CHEM     0.11   0.07   0.05   0.00
      MPI-ESM-LR    -0.11  -0.15    NaN  -0.32
      MPI-ESM-MR    -0.18  -0.18    NaN  -0.45
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3    -0.07  -0.02  -0.07  -0.09
       NorESM1-M    -0.05  -0.05  -0.08   0.03
      NorESM1-ME    -0.02  -0.01  -0.00  -0.01
SAU ANN
      HadGEM2-ES    -0.08  -0.07  -0.06  -0.16
       ACCESS1-0      NaN  -0.01    NaN  -0.10
       ACCESS1-3      NaN  -0.06    NaN  -0.15
      bcc-csm1-1    -0.05  -0.06  -0.07  -0.07
    bcc-csm1-1-m    -0.00  -0.02  -0.09  -0.05
         BNU-ESM    -0.06  -0.04    NaN  -0.12
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.04   0.04    NaN   0.03
      CESM1-CAM5     0.06   0.05   0.01   0.00
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN  -0.06
         CMCC-CM      NaN  -0.05    NaN  -0.05
        CMCC-CMS      NaN  -0.05    NaN  -0.11
           CCSM4     0.07   0.01   0.04   0.08
        CNRM-CM5     0.03   0.05    NaN  -0.02
   CSIRO-Mk3-6-0    -0.05  -0.07  -0.05  -0.14
        EC-EARTH      NaN    NaN    NaN  -0.06
       FGOALS-g2     0.03   0.08    NaN   0.17
         FIO-ESM     0.08   0.07   0.07   0.07
        GFDL-CM3    -0.00  -0.05  -0.05  -0.12
      GFDL-ESM2G    -0.05  -0.03  -0.06  -0.08
      GFDL-ESM2M    -0.06  -0.06  -0.14  -0.20
       GISS-E2-R     0.03   0.04   0.03   0.06
       GISS-E2-H     0.03   0.02   0.03   0.05
    GISS-E2-R-CC      NaN   0.07    NaN    NaN
    GISS-E2-H-CC      NaN   0.03    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN  -0.04    NaN  -0.06
      HadGEM2-AO    -0.04  -0.07  -0.07  -0.15
          inmcm4      NaN  -0.01    NaN  -0.02
    IPSL-CM5A-LR    -0.03  -0.04  -0.11  -0.14
    IPSL-CM5A-MR    -0.06  -0.11  -0.10  -0.24
    IPSL-CM5B-LR      NaN  -0.04    NaN  -0.01
          MIROC5    -0.06   0.02   0.02   0.04
       MIROC-ESM     0.12   0.09   0.15   0.11
  MIROC-ESM-CHEM     0.19   0.13   0.17   0.12
      MPI-ESM-LR    -0.03  -0.01    NaN  -0.08
      MPI-ESM-MR    -0.08  -0.05    NaN  -0.15
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3    -0.02  -0.01   0.00  -0.02
       NorESM1-M    -0.05  -0.02   0.01   0.08
      NorESM1-ME     0.04   0.04   0.05   0.10
   CMIP3ModelName    SRES   b1    a1b    a2
 MEAN PRECIP
ALA DJF
     bccr_bcm2_0     0.18   0.26  -0.03
   cccma_cgcm3_1     0.23   0.33   0.08
cccma_cgcm3_1_t6     0.23   0.31    NaN
        cnrm_cm3     0.18   0.26   0.20
     csiro_mk3_0     0.12   0.14   0.06
     csiro_mk3_5      NaN   0.12    NaN
      gfdl_cm2_0     0.18   0.30   0.48
      gfdl_cm2_1     0.26   0.48   0.36
        giss_aom     0.33   0.39    NaN
  giss_model_e_h      NaN   0.43    NaN
  giss_model_e_r    -0.08    NaN  -0.07
 iap_fgoals1_0_g     0.45   0.67    NaN
     ingv_echam4      NaN   0.40   0.65
        inmcm3_0     0.15   0.26   0.16
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires     0.24   0.34    NaN
 miroc3_2_medres     0.26   0.44   0.81
      mpi_echam5     0.29   0.48   0.11
